id,gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,pagerank,pass_through,depth,is_seed,truncated_by_depth,in_cycle,rapid_transit,structuring_risk,turnaround_hours
100000000343175100,100000000343175100,coordinator,1.0,24,0.293,"High betweenness (0.0011) bridging 39 counterparties across clusters. Volume: 4,178,751 KZT.",8,31,178712.0,4000039.0,0.000713258197938405,22.382598818210305,0,True,False,False,True,False,0.0
100000000456947100,100000000456947100,terminal,0.5,63,0.1,Genuine endpoint (depth 0): received 0 KZT from 0 payers with 0 outgoing transfers.,0,0,0.0,0.0,0.0002855692942172909,,0,True,False,False,False,False,
100000000580561100,100000000580561100,peripheral,0.3,55,0.1434,"Peripheral flow node with 5 active links (27,980 KZT in, 1,488,077 KZT out).",2,3,27980.0,1488077.0,0.0008349888856684654,53.183595425303785,0,True,False,True,False,False,-192.0
100000001415126100,100000001415126100,terminal,0.5,5,0.1138,"Genuine endpoint (depth 0): received 27,000 KZT from 1 payers with 0 outgoing transfers.",1,0,27000.0,0.0,0.0004096189054308049,0.0,0,True,False,False,False,False,
100000001429930100,100000001429930100,terminal,0.5,11,0.1112,"Genuine endpoint (depth 0): received 26,000 KZT from 1 payers with 0 outgoing transfers.",1,0,26000.0,0.0,0.00035079789147407785,0.0,0,True,False,False,False,False,
100000001616816100,100000001616816100,transit,0.927,6,0.2424,"Receives from 5 payers (176,195 KZT), passes through 103% (181,326 KZT) to 3 accounts. Rapid turnaround (24h).",5,3,176195.0,181326.0,0.002434657190684458,1.0291211441868384,0,True,False,True,True,True,24.0
100000001732159100,100000001732159100,peripheral,0.3,16,0.1563,"Peripheral flow node with 6 active links (2,378,100 KZT in, 1,505,966 KZT out).",2,4,2378100.0,1505966.0,0.0010950567872996843,0.633264370716118,0,True,False,True,True,False,0.0
100000002527114100,100000002527114100,coordinator,1.0,32,0.2889,"High betweenness (0.0002) bridging 114 counterparties across clusters. Volume: 3,418,249 KZT; return cycle detected.",3,111,129000.0,3289249.0,0.0008111056953132628,25.49805426356589,0,True,False,True,False,False,-72.0
100000002916006100,100000002916006100,peripheral,0.3,5,0.1009,"Peripheral flow node with 1 active links (0 KZT in, 32,000 KZT out).",0,1,0.0,32000.0,0.0002855692942172909,,0,True,False,False,False,False,
100000003016635100,100000003016635100,coordinator,1.0,2,0.6329,"High betweenness (0.0072) bridging 81 counterparties across clusters. Volume: 10,001,062 KZT; return cycle detected.",8,73,586981.0,9414081.0,0.0011896363343877673,16.038135817002594,0,True,False,True,False,False,-24.0
